score,comment
5,"이사하면서 건조기만살까?싶어서
오프라인도 많이돌아다녀보고
건조기만?세탁기도 오래?으니 걍 이참에
같이사서 위로올려서쓸까?하다가 눈에들어온게
워시타워 ~~!!
조작컨트롤이 중간에있어 사용하기
훨씬편리하겠구나
그후론 워시타워검색돌입
이전부터 난 '가전은엘지'라는 뿌리깊은생각이
있었기때문에 무조건 엘지로만,,
벼르고 벼르다 여기저기 다알아보고
꼼꼼한 성격에 온오프라인 다비교해보고
첨에 건조기16kg 살려고 생각했었는데
오히려
또 오브제랑도 같이보다가 기능적으로는 똑같은데
가격차이가 넘나고 오히려 화이트가 깨끗하니
더이쁠것같아 화이트로 모델은정해놓고
세일뜨기 기다렸다가 LG데이맞춰서

~!!
설치하자마자 수건20장빨고
건조기돌려보곤 수건이 보들보들
확실히 느낌이틀리더라구요
먼지나온거보곤 깜놀~
왜 건조기 건조기하는지 알것같아요
사실 세탁기는 아직쓸만해서
식기세척기를 먼저살까?
살짝 고민했었거든요
요즘 이것저것 이불털기도하고
은근 먼지통보는게 잼나게 잘사용하고있어요"
5,좁은 세탁실에 설치해주시느라 설치기사님들이 힘드셨어요 균형도 잘맞춰주시고 좁은 곳에서 조립하시느라 애쓰셨습니다 엘지씽큐로 관리가능하구요 일단 기사님이 빨래를 소량으로 5번정도 돌리라고 하셔서 그렇게 사용하려합니다 공장에서 제품이 나오면 통이 제대로 맞춰지기까지 조금 시간이 걸린대요 그래서 빨래를 소량으로 약5회정도 돌린 후에 양많은 빨래를 돌리라고 하시더군요 제품의 외관은 그 좁은 세탁실에도 부담되지않게 설치되었고 자동청소기능과 편리한 시스템으로 조금 살펴보면 매우 편안하게 이용가능할 것 같아요문디자인도 납작해서 습기배출에 용이하고 설치기사님께서 팁을 하나 더 주시길 문은 활짝 열어두지말고 자석이 붙는곳까지만 열어도된다 하시더라구요 그래도 충분히 환기된다구요 활짝열면 나중에 문이 내려앉는다하구요 디자인은 현존하는 모든 올인원스타일중 엘지오브제 다음인 넘버2라고 생각하구요 ^^;; 무이자22개월에 아름다운가격으로 판매해주신 판매자님께도 감사하네요~~ 잘 사용하겠습니다
5,월요일 오후에 구입했는데 사전답사요청을 했더니 수요일 오전에 방문해주셨고 설치는 목요일 오전에 했어요 폐가전수거 요청했는데 먼저 오셔서 빼고 공간확보하시고 설치하셨는데 기사님 두분께서 40분가량 조립과 설치까지 해주셨어요 선 정리도 깔끔하게 해 주시고 마무리후 사용법도 친절하게 예를 들어가면서 잘 해주셨어요 기존에 14kg 세탁기만 쓰다가 24kg으로 바뀌니 속이 엄청 넓고 좋네요 겨울이불이 마지막 탈수에서 안되는경우가 간혹있었는데 용량이 커지니 걱정이 없네요 건조기는 정말 너무 좋네요 늘 여름만 되면 제습기 하루종일 돌려 빨래 말렸는데 짧은 시간에 건조가 되니 너무 좋아요 수건이 뽀송해진게 너무 맘에 들어요 햇빛에 말린듯 따스하고 뽀송하고 좋네요 확장형 아파트로 이사와서 빨래 널 공간이 협소했는데 이젠 걱정 없네요 트루스팀기능이 있어 너무 좋아요 침구털기 하면서 스팀으로 살균도 되고  스팀리프레쉬로 입던 겉옷도 스팀살균되고 너무 좋아요 기능도 다양하고 연동도 되어 미리 준비도되요
5,"0. 선택: 무조건 큰거 + 이불털기(살균)가능한지 획인하라는 조언들이 쏟아져서 이놈으로 선택했습니다. 기능과 스팩은 같은데 로고 차이가 있는 오브제 사이에서 고민을 좀 했으나 어짜피 가전도 유행이고 소모품이라 생각해서 쪼끔이라도 저렴한 트롬으로 선택!
일요일에 주문했고, 월요일인가 화요일에 바로 연락 왔던 것 같아요. 기사님들께서 접수된 리스트를 바탕으로 배송 어래인지를 하시기 위해 아주아주 아침 일찍 전화하십니다. 7시 넘어서 오는 전화를 무조건 받으세요! 그래야 빨리 진행됩니다!

1. 사전방문: 보통 하루만에 오시는 듯. 하지만 저는 재택하는 날짜에 맞추느라 수요일에 방문 약속잡았어요. 당일에 세탁기 설치할 곳 상황, 너비, 문 높이 등 확인하시고 가능하다고 판단. 바로 다음날 또 이른 아침에 전화 받았어요. (물류 기사님과 설치 기사님들 파트가 나눠져 있어요.)

2. 설치: 금요일 오전 일찍 오셔서 순식간에 설치 완료해주셨습니다. 문지방 턱이나 벽이랑 타일 등 파손 후기가 있었서 걱정을 좀 했으나 이동 카페트 깔고 두분이서 조심히 옮겨주셨어요. 뚝딱뚝딱 조립합체 하시더니 알아서 위치 잡아주시고! 수평 맞춰주시고! 제가 할 일은 없었습니다ㅋㅋㅋ. 게다가 문 열리는 쪽에 벽이 있어서 서비스로 완충제도 딱 맞게 부착해주셨어요. . 어려운 조건이 아니라서 그랬는지 체감상 30분도 안걸린 듯!
재택 하신다는 가정하에 제품 재고가 확보되었다면 빠르면 3-4일 안에 설치까지 완료 가능해보임.

3. 안내: 제품에 문제 없는지 급수는 잘 되는지 등 먼저 체크 후 스크래치나 하자 등 확인은 같이 합니다. ! 물론 아이콘+한글 등 버튼이 명확하고 알아보기 쉬워요. 설명서 있어서 읽으면 다 알 수 있는 내용이지만 .
아 그리고 폐가전은 브랜드 상관없이 수거하시니 미리 통화할 때 말씀하세요.

4. 사용후기: 건조기가 있는 삶 전으로 돌아갈 수 없음. 건조기에서 나온 먼지들이 말해줌. 보들거리는 옷과 포근한 냄새나는 따끈한 이불 끌어안고 자기도 모르게 실실 웃으며 집에 있는 모든 이불을 다 꺼내게 됨. 주말 내내 세탁기 열일 함. 다만 옷감에 따라 보풀은 생김.

5. 세 줄 요약: .. 역시 가전은 엘지."
5,"선택이유 ; 16키로 사이즈와 고민하다 그래도 큰 사이즈가 맘에 들어, 해당 제품 구매하게 되었습니다.
설치소요일: 구입 후 배송완료까지 일주일 걸렸는데, 사전점검 및 설치 모두 하루씩 제가 조율한거라 실제로는 5일만에 설치 되었습니다. 생각보다 너무 빨라 좋았습니다.
담당자분들: 사전 점검 분들도 당일스케줄에 무리 안가게 일찍 전화 및 방문전에도 재연락하고 오시고
설치해주시는 2분 사전 연락 기본에, 모두 바빠서 엄청 빨리 움직이시는데 설명은 차근차근 천천히 해주세요.
제품: 워시타워 높이가 높지 않아 도어 오픈에는 크게 부담이 없고, 용량으로 인해 안에 깊이가 있어, 건조기 이용시에는 다소 긴 막대가 필요할것 같기도 합니다. 다만, 도어부분의 패킹에 먼지가 쌓이는 부분은 아직까지 수작업이 필요하여, 아쉬웠습니다.
이부분은 엘지 뿐 아니라 타사 제품도 개선이 필요한 부분이므로, 크게 만족도에 반영되지 않았습니다.
기타 : 오래된 세탁기는 폐가전으로 그냥 수거 부탁드렸습니다.
결론 : 성능때문에, 많은 분들이 해당 브랜드를 선택하지만, 제품과 더불어, 타사에 비해 LG가전은 매번 납품완료까지의 고객대응 서비스의 만족도가 높은 것 같습니다."
4,"상품 자체는 만족입니다. 오브제 16kg건조기와 오브제 아닌 17kg를 고민하다, 거실에 둘 것이 아니라 색상보다는 실속을 택했습니다. 다행히 다용도실 공간에 딱 맞고 제품 자체는 만족 합니다. 초창기에는 문 열리는 방향을 선택 할수 있었던것 같은데 지금은 오른쪽이 열리는 방식 한가지밖에 없다고 하시네요.
한전 보조금 신청 하실 분들은 설치하기 전에 우측면 모델명 스티커를 미리 사진찍어두세요. 저처럼 우측벽에 바짝 붙이면 사진찍기 곤란합니다.
설치기사분은 전기상식이 없으신 분인것 같아 불만입니다.
최대 소비전력이 세탁기 2100w, 건조기 1700w 총 3800인데 10A 250V 멀티탭으로 연결 해놓고 가셨습니다.
우측 벽에도 콘센트가 있는데도 멀리 있는 콘센트에 멀티탭으로 연결을 해놔서 가신 후에 전화드렸더니 그냥 써도 된다고 하셨다네요.
멀티탭 뒷면 사진을 보면 최대 2200w이상 사용하지 말라고 적혀있는데도 콘센트 구멍이 남으니 더 꼽아서 사용해도 된다고 합니다.
세탁기나 건조기 둘 중 한개의 전선을 우측 벽에 꼽아만 놓아도 큰 문제는 없을 것 같은데 그걸 비워두고 멀리 있는 콘센트에 용량도 한참 부족한 멀티탭으로 꼽아놓고 그냥 가버린 것은 아마도 설치 후에 우측 벽 콘센트를 발견하신거 아닐까 하는 생각이 드네요. 즉 귀찮으니까요. 그런데 용량 한참 부족한 멀티탭이 녹거나해서 화재 발생시 기사님이 책임 지시나요? 판매자분은 최소한의 전기 상식이 있으신 분과 거래하시는 것이 좋을 것 같습니다."
5,"엘지 통돌이만 사용하다 건조기를 꼭 사용해보고싶어서 검색해보다가
자리도 덜차지하고 디자인도 예쁜 워시타워를 알게되었어요
장 단점이 있겠지만 건조기를 꼭 써보고 싶은데
도저히 따로 놓을 자리가 없어서
잘사용중인 통돌이를 두고 주문했네요
세탁기나 건조기 큰게 좋다고 하여서
처음에 21키로 보다가 24키로 선택

워시타워 주문 후 설치기사님이 사전방문하여 설치가능여부 확인해주셨구요
설치안되는 경우가 아니라서
살펴보시고 워시타워들어갈때 주변에 미리 정리해두어야할 물건들 안내해주셨어요

설치할 곳 뒤에 보일러와 가스계량기가 있어서
추후에 비용부담 또는 과태요?
단확장 안하고 단 아래에 여유공간에 두는 것도 가능하다고
그런데.. 그러면 너무 버리는 공간이 클 것 같아서
깔끔하게 단 확장하고, 최대한 단에 맞춰올리고 뒷공간에 적당한 여유만 두어서 추후에 보일러 수리하거나 가스검침 가능할 정도로 공간확보!
설치하구보니 !

3.31 결제하고 4.7일 설치일로 지정되었는데
하루 미뤄서 설치받았어요
설치하고 바로 세탁기랑 건조기 작동해 보았는데
개인적으론 세탁도 통돌이보다 잘 되는것 같고
건조기는 정말로 신세계네요 ㅎㅎ
따끈따끈 뽀송뽀송한 갓 ^^
오래오래 잘 사용하면 좋겠어요"
5,"주문하고 사전 방문과 설치까지 10일 걸렸어요.
예상보다 빠르게 진행되어 좋았습니다.
설치기사님 모두 친절하시고, 꼼꼼하게 설치해 주셨어요.
운반할 때 카페트 잘 깔아서 다른 곳 더러워지지 않도록 신경써서 해주시고, 베란다 쪽이 약간 기운 듯 한데 수평도 잘 맞춰주셨어요.
제품 안내와 사용 설명까지 잘 해주셨습니다.

.
건조기 요즘은 20kg로 나오던데, 17kg모델로도 충분히 .
.
집이 전세라서 너무 비싸고 좋은 것 사도 이사다니면서 흠집 생기면 마음 아플 것 같은데, 이건 신혼 부부인 지금 상황에 제일 잘 맞네요. lg 본점가서 본 모델과 100만원정도 차이가 났어요. ssg으로 결제하니 단 번에 .
세탁도 잘 되고, 이전 구 모델 건조기와 다르게 .
타워형이라 .
말해뭐해 사랑해요 lgㅎㅎ"
5,"s성꺼랑 고민하다 실물로 트레이더스에서 보곤 엘지에 마음을 뺐겼어요. 오브제가 아님에도 샤이니 한게 이뻐요.그리고 스팀건조 되는게 이가격이라니 오프라인에선 건조 16키로에 스팀건조 아닌게 이가격 정도 였던거같아요.화이트라 잠시 망설였지만, 색상에 따른 기능차이는 없고, 가격만 더 올라가는 실버나, 블랙...과감히 마음접고 주문했습니다. 첫 세탁을 수건으로 삶음세탁에 건조했더니 새기계 냄새랄까(새차 에서 나는 냄새같이..)..다시 세탁했습니다.오래된 수건이고 일반 표준세탁에 건조도 스팀건조 안했는데도 결이 사네요. 샤워후 사용해보니 수건이 덜젖는달까..아무튼, 수건이랑 이불빨래 짱입니다.~ 단점 한가지는 침구털기 기능이 더운 바람이 쏘여지며 이불이 털리는거라, 양모이불 털기기능을 못해 아쉬워요.ㅠㅠ 고온이 아닌 그냥 이불 털기 기능이 있으면 좋겠어요."
3,기존에 쓰던 트롬 세탁기가 고장이 나서 워시타워를 설치 하기로 결정하고 처음으로 인터넷으로 구입했네요 ... 그래서 그런지 원하는 날짜 까지 연락이 한번도 없다가 설치 당일 자고 있는데 전화가 왔네요 그날 시공 하러 온다고~~ 그런데 설치 기사님 와서 보시더니 워시타워가 시공할 수없다는 말씀을 하고 그냥 가셨어요~~왜냐하면 워시타워는 높이가 2미터 가까이 되어 가스관과 가스계량기가 있어 시공할 수 없다는 거에요~~ 저희집 세탁기바닥은 기존 바닥보다 약간 높아 타일 공사도 보수공사로 해야 했어요~ 그러는 바람에 일주일 가량 거실 한복판에 냉장고랑 식탁과 각종 살림 등이 널브러져 있었답니다.날도 더운데 아주 분통 터지는 일이었죠 워시타워의 경우 높이랑 깊이를 자세히 살펴서 설치해야 해요...기존 세탁기보다 자리를 좀더 차지 하는 편이에요~ 워시타워 제품 만족도나 시공 기사님이 친절하고 시간도 정확하게 맞춰서 오셨지만 판매자의 일처리는 제대로 못하시는 것 같아요~ 인터넷으로 전자제품 구입하시는분 꼼꼼히 보시고 구입하세요 절대 가격만 보시면 큰일 날거 같아요
